Modelo,C,alpha,Parámetro,Coeficiente
Lasso,0.01,50.0,intercepto,-0.24228776288377363
Lasso,0.03,16.666666666666668,X1,-0.0
Lasso,0.03,16.666666666666668,X2,0.0
Lasso,0.03,16.666666666666668,X1^2,-0.0
Lasso,0.03,16.666666666666668,X1 X2,0.0
Lasso,0.03,16.666666666666668,X2^2,0.0
Lasso,0.03,16.666666666666668,X1^3,-0.0
Lasso,0.03,16.666666666666668,X1^2 X2,0.0
Lasso,0.03,16.666666666666668,X1 X2^2,-0.0
Lasso,0.03,16.666666666666668,X2^3,0.0
Lasso,0.03,16.666666666666668,X1^4,-0.0
Lasso,0.03,16.666666666666668,X1^3 X2,0.0
Lasso,0.03,16.666666666666668,X1^2 X2^2,-0.0
Lasso,0.03,16.666666666666668,X1 X2^3,-0.0
Lasso,0.03,16.666666666666668,X2^4,0.0
Lasso,0.03,16.666666666666668,X1^5,-0.0
Lasso,0.03,16.666666666666668,X1^4 X2,0.0
Lasso,0.03,16.666666666666668,X1^3 X2^2,-0.0
Lasso,0.03,16.666666666666668,X1^2 X2^3,0.0
Lasso,0.03,16.666666666666668,X1 X2^4,-0.0
Lasso,0.03,16.666666666666668,X2^5,0.0
Lasso,0.03,16.666666666666668,intercepto,-0.24228776288377363
Lasso,0.1,5.0,X1,-0.0
Lasso,0.1,5.0,X2,0.0
Lasso,0.1,5.0,X1^2,-0.0
Lasso,0.1,5.0,X1 X2,0.0
Lasso,0.1,5.0,X2^2,0.0
Lasso,0.1,5.0,X1^3,-0.0
Lasso,0.1,5.0,X1^2 X2,0.0
Lasso,0.1,5.0,X1 X2^2,-0.0
Lasso,0.1,5.0,X2^3,0.0
Lasso,0.1,5.0,X1^4,-0.0
Lasso,0.1,5.0,X1^3 X2,0.0
Lasso,0.1,5.0,X1^2 X2^2,-0.0
Lasso,0.1,5.0,X1 X2^3,-0.0
Lasso,0.1,5.0,X2^4,0.0
Lasso,0.1,5.0,X1^5,-0.0
Lasso,0.1,5.0,X1^4 X2,0.0
Lasso,0.1,5.0,X1^3 X2^2,-0.0
Lasso,0.1,5.0,X1^2 X2^3,0.0
Lasso,0.1,5.0,X1 X2^4,-0.0
Lasso,0.1,5.0,X2^5,0.0
Lasso,0.1,5.0,intercepto,-0.24228776288377363
Lasso,0.3,1.6666666666666667,X1,-0.0
Lasso,0.3,1.6666666666666667,X2,0.0
Lasso,0.3,1.6666666666666667,X1^2,-0.0
Lasso,0.3,1.6666666666666667,X1 X2,0.0
Lasso,0.3,1.6666666666666667,X2^2,0.0
Lasso,0.3,1.6666666666666667,X1^3,-0.0
Lasso,0.3,1.6666666666666667,X1^2 X2,0.0
Lasso,0.3,1.6666666666666667,X1 X2^2,-0.0
Lasso,0.3,1.6666666666666667,X2^3,0.0
Lasso,0.3,1.6666666666666667,X1^4,-0.0
Lasso,0.3,1.6666666666666667,X1^3 X2,0.0
Lasso,0.3,1.6666666666666667,X1^2 X2^2,-0.0
Lasso,0.3,1.6666666666666667,X1 X2^3,-0.0
Lasso,0.3,1.6666666666666667,X2^4,0.0
Lasso,0.3,1.6666666666666667,X1^5,-0.0
Lasso,0.3,1.6666666666666667,X1^4 X2,0.0
Lasso,0.3,1.6666666666666667,X1^3 X2^2,-0.0
Lasso,0.3,1.6666666666666667,X1^2 X2^3,0.0
Lasso,0.3,1.6666666666666667,X1 X2^4,-0.0
Lasso,0.3,1.6666666666666667,X2^5,0.0
Lasso,0.3,1.6666666666666667,intercepto,-0.24228776288377363
Lasso,1.0,0.5,X1,-0.0
Lasso,1.0,0.5,X2,0.058248762821747256
Lasso,1.0,0.5,X1^2,-0.0
Lasso,1.0,0.5,X1 X2,0.0
Lasso,1.0,0.5,X2^2,0.0
Lasso,1.0,0.5,X1^3,-0.0
Lasso,1.0,0.5,X1^2 X2,0.0
Lasso,1.0,0.5,X1 X2^2,-0.0
Lasso,1.0,0.5,X2^3,0.0
Lasso,1.0,0.5,X1^4,-0.0
Lasso,1.0,0.5,X1^3 X2,0.0
Lasso,1.0,0.5,X1^2 X2^2,-0.0
Lasso,1.0,0.5,X1 X2^3,0.0
Lasso,1.0,0.5,X2^4,0.0
Lasso,1.0,0.5,X1^5,-0.0
Lasso,1.0,0.5,X1^4 X2,0.0
Lasso,1.0,0.5,X1^3 X2^2,-0.0
Lasso,1.0,0.5,X1^2 X2^3,0.0
Lasso,1.0,0.5,X1 X2^4,-0.0
Lasso,1.0,0.5,X2^5,0.0
Lasso,1.0,0.5,intercepto,-0.24228776288377363
Lasso,3.0,0.16666666666666666,X1,-0.0
Lasso,3.0,0.16666666666666666,X2,0.3673363126476609
Lasso,3.0,0.16666666666666666,X1^2,-0.12527022165316898
Lasso,3.0,0.16666666666666666,X1 X2,0.0
Lasso,3.0,0.16666666666666666,X2^2,0.0
Lasso,3.0,0.16666666666666666,X1^3,-0.0
Lasso,3.0,0.16666666666666666,X1^2 X2,0.0
Lasso,3.0,0.16666666666666666,X1 X2^2,0.0
Lasso,3.0,0.16666666666666666,X2^3,0.03407433087595693
Lasso,3.0,0.16666666666666666,X1^4,-0.0
Lasso,3.0,0.16666666666666666,X1^3 X2,0.0
Lasso,3.0,0.16666666666666666,X1^2 X2^2,-0.0
Lasso,3.0,0.16666666666666666,X1 X2^3,0.0
Lasso,3.0,0.16666666666666666,X2^4,0.0
Lasso,3.0,0.16666666666666666,X1^5,-0.0
Lasso,3.0,0.16666666666666666,X1^4 X2,0.0
Lasso,3.0,0.16666666666666666,X1^3 X2^2,0.0
Lasso,3.0,0.16666666666666666,X1^2 X2^3,0.0
Lasso,3.0,0.16666666666666666,X1 X2^4,0.0
Lasso,3.0,0.16666666666666666,X2^5,0.0
Lasso,3.0,0.16666666666666666,intercepto,-0.24228776288377363
Lasso,10.0,0.05,X1,-0.0
Lasso,10.0,0.05,X2,0.47221458510711584
Lasso,10.0,0.05,X1^2,-0.24778161837923365
Lasso,10.0,0.05,X1 X2,0.0
Lasso,10.0,0.05,X2^2,0.0
Lasso,10.0,0.05,X1^3,-0.0
